Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
198,Udonis Haslem\hasleud01,C,37,MIA,12,0,5.1,0.3,1.0,.250,0.1,0.5,.167,0.2,0.5,.333,.292,0.0,0.0,,0.3,0.5,0.8,0.4,0.0,0.2,0.2,0.2,0.6
199,Nigel Hayes\hayesni01,SF,23,TOT,3,0,5.3,1.0,1.7,.600,0.7,1.3,.500,0.3,0.3,1.000,.800,0.3,0.3,1.000,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,3.0
200,Gordon Hayward\haywago01,SF,27,BOS,1,1,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
201,Reggie Hearn\hearnre01,SG,26,DET,2,0,1.5,0.5,0.5,1.000,0.5,0.5,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
202,Myke Henry\henrymy01,SF,25,MEM,15,0,18.6,2.0,5.2,.385,1.0,2.9,.349,1.0,2.3,.429,.481,0.4,0.7,.600,0.5,1.2,1.7,1.1,1.4,0.3,0.9,1.4,5.4
203,John Henson\hensojo01,C,27,MIL,62,55,25.6,3.8,6.5,.582,0.0,0.1,.000,3.8,6.4,.588,.582,1.3,2.2,.581,2.0,4.8,6.8,1.3,0.5,1.4,1.2,2.8,8.8
204,Juan Hernangomez\hernaju01,PF,22,DEN,22,3,11.4,1.2,3.0,.388,0.5,1.9,.262,0.7,1.1,.600,.470,0.5,0.5,.833,0.8,1.6,2.4,0.4,0.3,0.1,0.4,0.9,3.3
205,Willy Hernangomez\hernawi01,C,23,TOT,34,0,8.1,1.5,2.8,.553,0.0,0.1,.200,1.5,2.6,.573,.559,0.5,1.1,.447,0.8,1.6,2.5,0.6,0.2,0.3,0.9,1.1,3.6
206,Mario Hezonja\hezonma01,SF,22,ORL,60,18,20.3,3.5,7.6,.457,1.1,3.3,.342,2.4,4.3,.544,.531,1.0,1.2,.819,0.6,2.8,3.4,1.2,1.0,0.4,1.0,1.8,9.0
207,Isaiah Hicks\hicksis01,PF,23,NYK,6,0,10.0,1.3,3.0,.444,0.0,0.2,.000,1.3,2.8,.471,.444,0.3,0.7,.500,0.5,0.7,1.2,0.2,0.2,0.0,0.8,1.7,3.0
208,Buddy Hield\hieldbu01,SG,24,SAC,66,11,24.4,4.8,11.2,.431,2.0,4.9,.414,2.8,6.2,.444,.522,0.8,0.9,.887,0.6,3.0,3.7,1.6,0.9,0.3,1.4,1.8,12.5
209,Nene Hilario\hilarne01,C,35,HOU,46,3,14.7,2.8,4.7,.591,0.0,0.0,.000,2.8,4.6,.596,.591,1.3,2.0,.641,1.0,2.4,3.4,0.9,0.5,0.3,0.8,2.4,6.8
210,George Hill\hillge01,PG,31,TOT,55,48,27.0,3.6,7.8,.456,1.3,3.1,.426,2.3,4.7,.475,.540,1.8,2.4,.777,0.6,2.0,2.6,2.9,0.8,0.3,1.4,1.9,10.3
211,Darrun Hilliard\hillida01,SG,24,SAS,14,0,6.8,0.4,1.4,.263,0.0,0.4,.000,0.4,0.9,.385,.263,0.4,0.5,.857,0.0,0.5,0.5,0.8,0.1,0.0,0.3,0.5,1.1
212,Jrue Holiday\holidjr01,SG,27,NOP,66,66,36.6,7.6,15.5,.490,1.6,4.6,.339,6.0,10.9,.554,.540,2.4,3.0,.796,0.6,3.7,4.4,5.8,1.4,0.7,2.5,2.4,19.2
213,Justin Holiday\holidju01,SG,28,CHI,59,59,33.4,4.2,11.2,.379,2.4,6.4,.376,1.8,4.8,.383,.486,2.0,2.5,.822,0.5,3.9,4.4,2.2,1.1,0.5,1.3,1.9,12.9
214,John Holland\hollajo02,SF,29,CLE,13,0,5.0,0.4,1.5,.250,0.4,1.1,.357,0.0,0.5,.000,.375,0.2,0.3,.750,0.1,0.5,0.5,0.2,0.5,0.0,0.1,0.2,1.4
215,Rondae Hollis-Jefferson\holliro01,SF,23,BRK,53,45,27.8,5.1,10.8,.469,0.2,0.9,.255,4.8,9.9,.489,.480,3.6,4.6,.793,1.5,5.1,6.5,2.3,0.8,0.7,1.7,2.1,14.0
216,Richaun Holmes\holmeri01,C,24,PHI,34,2,15.0,2.5,4.9,.512,0.1,0.8,.111,2.4,4.1,.590,.521,0.8,1.1,.722,1.2,3.3,4.5,1.2,0.4,0.6,0.6,2.1,5.9
217,Rodney Hood\hoodro01,SG,25,TOT,50,16,27.4,5.6,13.2,.422,2.3,6.0,.381,3.3,7.1,.457,.509,1.9,2.2,.881,0.4,2.4,2.8,1.6,0.8,0.2,1.4,1.8,15.3
218,Scotty Hopson\hopsosc01,SG,28,DAL,1,0,8.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,2.0,.500,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
